Code,R,G,B
1,193,191,190
2,197,195,170
3,204,197,154
4,211,206,110
5,220,206,109
6,231,212,97
7,236,217,74
8,240,221,54
9,253,230,46
10,255,227,43
11,171,186,178
12,174,183,170
13,183,189,154
14,191,191,139
15,200,193,119
16,210,195,98
17,218,195,92
18,221,198,40
19,229,198,56
20,243,205,31
21,147,182,199
22,157,183,183
23,168,182,164
24,173,180,145
25,186,179,119
26,192,178,103
27,201,180,84
28,212,179,56
29,222,179,45
30,228,178,38
31,133,176,210
32,131,172,190
33,142,172,168
34,155,168,146
35,163,163,129
36,175,161,112
37,185,159,93
38,198,160,60
39,205,158,59
40,220,149,47
41,98,174,210
42,113,167,192
43,121,163,174
44,133,156,154
45,144,151,138
46,158,146,121
47,165,141,108
48,176,135,83
49,188,132,58
50,193,126,43
51,100,165,210
52,74,159,200
53,105,152,177
54,117,145,162
55,129,138,146
56,143,131,124
57,151,122,107
58,161,117,82
59,174,109,74
60,180,101,62
61,76,162,217
62,83,154,201
63,88,144,186
64,97,134,165
65,108,122,148
66,124,114,127
67,136,105,111
68,147,94,92
69,156,82,73
70,170,76,59
71,51,154,213
72,73,146,201
73,71,134,190
74,80,123,174
75,86,110,154
76,105,99,130
77,121,86,115
78,129,77,103
79,143,60,81
80,157,51,67
81,19,151,212
82,36,139,203
83,55,124,187
84,63,112,176
85,72,98,151
86,90,77,152
87,101,67,129
88,114,50,111
89,124,45,89
90,142,31,71
91,9,146,200
92,70,130,187
93,64,112,183
94,57,102,169
95,61,83,161
96,73,68,150
97,90,50,127
98,101,39,114
99,116,33,97
100,135,23,86
